{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.1},current price: 586.3686859113967, prediction: 640.7273559570312,real prediction : 583.3249999999999
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.2},current price: 649.0567, prediction: 658.7604370117188,real prediction : 567.175
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.3},current price: 473.6874999999999, prediction: 662.80224609375,real prediction : 474.795
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.1},current price: 331.7238, prediction: 429.0570373535156,real prediction : 358.395
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.2},current price: 216.9136, prediction: 246.0817413330078,real prediction : 227.2050999999999
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.3},current price: 506.9150000000001, prediction: 564.886474609375,real prediction : 501.5300000000001
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.1},current price: 444.9968, prediction: 517.7550659179688,real prediction : 443.4734
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.2},current price: 327.7169708710151, prediction: 334.4398193359375,real prediction : 316.491
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.3},current price: 376.951, prediction: 444.4763488769531,real prediction : 376.472
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.1},current price: 593.8655273953669, prediction: 596.6519165039062,real prediction : 585.5731940766995
